Puntuacion,Prioridad,Sector,Nombre,Telefono,Rating,Resenas,Fotos,Web,Direccion,Motivos
95,ALTA,clinicas dentales,Clínica Dental Dr. Ramón Gómez Meda,987 45 61 84,4.4,9,0,Sin web,"Av. Pérez Colino, 22, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 9 (+25) | Sin fotos (+20) | Rating medio 4.4 (+10)
90,ALTA,clinicas dentales,Clinica Dental,Sin telefono,5,4,0,Sin web,"Av. de Portugal, 38, 24403 Ponferrada, León, España",Sin web (+40) | Pocas resenas 4 (+25) | Sin fotos (+20) | Buen rating 5 (+5)
90,ALTA,talleres mecanicos,TALLERES JULIO MECANICA PONFERRADA,987 42 89 77,4.6,26,0,Sin web,"C. los Comuneros, 5, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 26 (+25) | Sin fotos (+20) | Buen rating 4.6 (+5)
90,ALTA,talleres mecanicos,AUTOMECANICA PONFERRADA S.L.,987 41 29 28,4.8,26,0,Sin web,"CARRETERA ORENSE, 3, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 26 (+25) | Sin fotos (+20) | Buen rating 4.8 (+5)
75,ALTA,talleres mecanicos,TALLERES CARRACEDO S.L.,987 42 86 60,4.6,58,0,Sin web,"Av. de Portugal, 291, 24403 Ponferrada, León, España",Sin web (+40) | Resenas medias 58 (+10) | Sin fotos (+20) | Buen rating 4.6 (+5)
75,ALTA,tiendas de ropa,WBACKSTAGE Moda_Femenina_Ponferrada,634 33 15 93,4.3,21,10,Sin web,"C. Fueros de León, 3, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 21 (+25) | Rating medio 4.3 (+10)
75,ALTA,tiendas de ropa,ABITO,987 08 82 24,4,6,6,Sin web,"Calle Dr. Fleming, 18, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 6 (+25) | Rating medio 4 (+10)
70,ALTA,peluquerias,Peluquería internacional,987 41 71 37,4.9,25,10,Sin web,"Av. Compostilla, 6, Bajo, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 25 (+25) | Buen rating 4.9 (+5)
70,ALTA,peluquerias,Laura Guerrero Peluqueros,987 41 86 39,5,35,10,Sin web,"Via Rio Valcarce, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 35 (+25) | Buen rating 5 (+5)
70,ALTA,clinicas dentales,Clinica dental Dra Estela Vence Becerra,987 03 86 70,5,3,7,Sin web,"Cuatrovientos (al lado de la gasolinera, Av. Galicia, 82, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 3 (+25) | Buen rating 5 (+5)
70,ALTA,clinicas dentales,Clinica Dental MARTINEZ GUERRA,987 40 18 52,5,10,1,Sin web,"C. Ancha, 50, 24401 Ponferrada, León, España",Sin web (+40) | Pocas resenas 10 (+25) | Buen rating 5 (+5)
70,ALTA,clinicas dentales,Clinica de Ortodoncia Dra. Yolanda Arias,987 40 06 87,4.7,13,10,Sin web,"Av. de la Libertad, 5, 1ºD, 24404 Ponferrada, León, España",Sin web (+40) | Pocas resenas 13 (+25) | Buen rating 4.7 (+5)
70,ALTA,clinicas dentales,Clinica odontológica SALUD dental,987 40 60 23,4.5,20,6,Sin web,"Av. de la Puebla, 7, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 20 (+25) | Buen rating 4.5 (+5)
70,ALTA,talleres mecanicos,Taller GyB,987 42 47 85,4.9,40,2,Sin web,"24403, C. Batalla de Bailén, 10, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 40 (+25) | Buen rating 4.9 (+5)
70,ALTA,talleres mecanicos,Talleres Stop,987 62 82 59,5,26,6,Sin web,"Av. el Castillo, 199, 24400 Ponferrada, León, España",Sin web (+40) | Pocas resenas 26 (+25) | Buen rating 5 (+5)
70,ALTA,talleres mecanicos,Talleres Segoca,987 45 56 57,4.6,41,10,Sin web,"C. el Carral, 1, 24411 Ponferrada, León, España",Sin web (+40) | Pocas resenas 41 (+25) | Buen rating 4.6 (+5)
70,ALTA,talleres mecanicos,"AUTOMOCION 3000, S.L.",987 41 54 90,4.5,30,1,Sin web,"Av. de Portugal, 349, 24403 Ponferrada, León, España",Sin web (+40) | Pocas resenas 30 (+25) | Buen rating 4.5 (+5)
70,ALTA,talleres mecanicos,Talleres Miche,987 41 39 76,4.9,24,2,Sin web,"Polígono Cantalobos Fase II, Nave 4, 24411 Ponferrada, León, España",Sin web (+40) | Pocas resenas 24 (+25) | Buen rating 4.9 (+5)
70,ALTA,tiendas de ropa,Che Ponferrada,987 40 42 15,5,26,10,Sin web,"Av. Pérez Colino, 7, 24402 Ponferrada, León, España",Sin web (+40) | Pocas resenas 26 (+25) | Buen rating 5 (+5)
55,MEDIA,restaurantes,Restaurante Casino Rooftop Ponferrada,611 86 35 56,4.5,141,10,Sin web,"C. Reloj, 14, 24400 Ponferrada, León, España",Sin web (+40) | Resenas medias 141 (+10) | Buen rating 4.5 (+5)
55,MEDIA,peluquerias,Ana Peluquería y estética,987 91 15 55,4.8,55,10,Sin web,"C. Lago de la Baña, 29, 24402 Ponferrada, León, España",Sin web (+40) | Resenas medias 55 (+10) | Buen rating 4.8 (+5)
55,MEDIA,peluquerias,S-PELUQUERIA,987 40 91 87,4.6,127,10,Sin web,"Av. España, 32, 24400 Ponferrada, León, España",Sin web (+40) | Resenas medias 127 (+10) | Buen rating 4.6 (+5)
55,MEDIA,peluquerias,D'Prada Barbería - Peluquería,637 85 23 47,4.9,153,10,Sin web,"C. Río Selmo, 2, 24400 Ponferrada, León, España",Sin web (+40) | Resenas medias 153 (+10) | Buen rating 4.9 (+5)
55,MEDIA,peluquerias,Peluquería y Estética Para Ellos,987 79 87 37,4.8,102,2,Sin web,"Los Almendros, 4, 24401 Ponferrada, León, España",Sin web (+40) | Resenas medias 102 (+10) | Buen rating 4.8 (+5)
50,MEDIA,tiendas de ropa,Gara-G @gara_g_clothesgallery,987 08 80 50,4.8,28,10,https://es-es.facebook.com/garagclothesgallery/,"Av. el Castillo, 197, 24400 Ponferrada, León, España",Web precaria (+20) | Pocas resenas 28 (+25) | Buen rating 4.8 (+5)
45,MEDIA,restaurantes,La Bodega de Godivah,Sin telefono,4.5,1637,10,Sin web,"Av. el Castillo, 135, 24400 Ponferrada, León, España",Sin web (+40) | Buen rating 4.5 (+5)
45,MEDIA,restaurantes,El Leñador Ponferrada,987 42 69 24,4.5,622,10,Sin web,"Carr. Puebla de Sanabria, 42, 24400 Ponferrada, León, España",Sin web (+40) | Buen rating 4.5 (+5)
45,MEDIA,peluquerias,El Tocador de Ana PONFERRADA,987 03 76 45,4.8,234,10,Sin web,"C. Matilde Conesa, 6, 24400 Ponferrada, León, España",Sin web (+40) | Buen rating 4.8 (+5)
45,MEDIA,peluquerias,Salmerón Peluqueros,987 40 57 05,4.7,304,10,Sin web,"Av. Compostilla, 15, 24402 Ponferrada, León, España",Sin web (+40) | Buen rating 4.7 (+5)
45,MEDIA,peluquerias,Yoli´s Barber Shop,987 41 14 97,4.9,209,5,Sin web,"Av. José Valgoma Suárez, 16, 24400 Ponferrada, León, España",Sin web (+40) | Buen rating 4.9 (+5)
40,MEDIA,talleres mecanicos,JR Auto Express,987 42 74 34,3.8,49,5,http://www.jrautoexpress.es/,"POL. INDUSTRIAL EL BIERZO, C. Bilbao, 42, 24400 Ponferrada, León, España",Pocas resenas 49 (+25) | Rating bajo 3.8 (+15)
35,BAJA,peluquerias,Peluquería Sagra,987 40 60 80,4.7,178,10,https://www.facebook.com/sagra.peluquerias,"5 leon, Av. Valdés, 5, 24402 Ponferrada, León, España",Web precaria (+20) | Resenas medias 178 (+10) | Buen rating 4.7 (+5)
35,BAJA,peluquerias,KAHOS by Baró Estilistas,674 62 58 09,4.5,112,10,https://instagram.com/baroestilistas?igshid=YmMyMTA2M2Y=,"P.º San Antonio, 11, 24400 Ponferrada, León, España",Web precaria (+20) | Resenas medias 112 (+10) | Buen rating 4.5 (+5)
35,BAJA,peluquerias,Arte Style 1978,987 03 76 66,4.8,95,10,https://artestyle1978.wixsite.com/artestyle1978,"C. Clara Campoamor, 31, bajo, 24400 Ponferrada, León, España",Web precaria (+20) | Resenas medias 95 (+10) | Buen rating 4.8 (+5)
35,BAJA,peluquerias,Peluqueria Noemi Gavela,987 07 77 46,4.9,73,0,https://sedinfo.es/noemi-gavela/gmx-niv105-con11050000013702.htm,"Av. de América, 9, 24400 Ponferrada, León, España",Resenas medias 73 (+10) | Sin fotos (+20) | Buen rating 4.9 (+5)
35,BAJA,tiendas de ropa,Pilar Prieto,987 41 05 54,4.4,43,10,http://www.pilarprieto.es/,"C. Cam. de Santiago, 20, 24404 Ponferrada, León, España",Pocas resenas 43 (+25) | Rating medio 4.4 (+10)
35,BAJA,tiendas de ropa,Gala Look,987 40 96 29,4.3,19,4,http://www.galalookshop.com/,"Calle Gral. Gómez Núñez, 3, 24402 Ponferrada, León, España",Pocas resenas 19 (+25) | Rating medio 4.3 (+10)
30,BAJA,restaurantes,Restaurante Mencía,637 85 11 44,4.4,1798,10,https://m.facebook.com/pages/Restaurante-Mencia/101745249901338,"C. Nicolás de Brujas, 14, 24401 Ponferrada, León, España",Web precaria (+20) | Rating medio 4.4 (+10)
30,BAJA,restaurantes,El Bodegón,987 41 10 19,4.4,1148,10,https://m.facebook.com/pages/El-Bodegon/192717074099967,"Tr.ª Pelayo, 2, 24401 Ponferrada, León, España",Web precaria (+20) | Rating medio 4.4 (+10)
30,BAJA,clinicas dentales,Clínica Dental Quiñones Belzuz,987 40 72 67,4.7,24,2,http://www.clinicadentalqb.es/,"Blvr. Juan Carlos I Rey de España, 10, bajo, 24404 Ponferrada, León, España",Pocas resenas 24 (+25) | Buen rating 4.7 (+5)
30,BAJA,clinicas dentales,Doctora Elena García Pacios,987 41 34 86,4.7,13,10,http://www.doctoraelenagarciapacios.es/,"Av. España, 3, 2º-C, 24402 Ponferrada, León, España",Pocas resenas 13 (+25) | Buen rating 4.7 (+5)
30,BAJA,clinicas dentales,Clínica odontólogica Dra. Sandra Terrón,987 41 38 06,5,4,2,https://sandraterron.es/,"C. Ave Maria, 1, 24402 Ponferrada, León, España",Pocas resenas 4 (+25) | Buen rating 5 (+5)
30,BAJA,clinicas dentales,Clínica Odonto Care,987 00 99 90,4.5,22,10,http://www.odontocare.es/,"C. Real, 45, 24402 Ponferrada, León, España",Pocas resenas 22 (+25) | Buen rating 4.5 (+5)
30,BAJA,tiendas de ropa,La Favorita -The Apartment-,640 65 52 51,5,38,10,http://www.lafavoritastore.com/,"Calle Gral. Gómez Núñez, 19, 24402 Ponferrada, León, España",Pocas resenas 38 (+25) | Buen rating 5 (+5)
30,BAJA,tiendas de ropa,Tot Moda,987 11 94 79,4.5,17,2,https://www.totmodashop.com/,"Calle Gral. Gómez Núñez, 21, 24402 Ponferrada, León, España",Pocas resenas 17 (+25) | Buen rating 4.5 (+5)
30,BAJA,tiendas de ropa,Mayra & Cris,647 65 54 27,5,27,7,https://mayraycris.es/,"C. Dos de Mayo, 19, 24400 Ponferrada, León, España",Pocas resenas 27 (+25) | Buen rating 5 (+5)
30,BAJA,tiendas de ropa,Vega Ponferrada,987 41 40 87,4.8,20,2,https://vegaponferrada.com/,"Av. España, 21, 24402 Ponferrada, León, España",Pocas resenas 20 (+25) | Buen rating 4.8 (+5)
25,BAJA,restaurantes,Las Muxas Brasería,648 29 34 49,4.8,1557,10,https://as-muxas-braseria-1.jimdosite.com/,"C. Lago de Carucedo, 17, 24400 Ponferrada, León, España",Web precaria (+20) | Buen rating 4.8 (+5)
25,BAJA,restaurantes,Restaurante Casa Aníbal,634 58 97 09,4.7,880,10,https://www.facebook.com/baranibaltapas,"C. Reloj, 10, 24400 Ponferrada, León, España",Web precaria (+20) | Buen rating 4.7 (+5)
25,BAJA,restaurantes,Restaurante La Central,987 03 93 55,4.5,1035,10,http://facebook.com/lacentralponferrada,"Museo de la Energía, Av. de la Libertad, 46, 24404 Ponferrada, León, España",Web precaria (+20) | Buen rating 4.5 (+5)
25,BAJA,restaurantes,THE KITCHEN SOUL AND FOOD PONFERRADA,987 72 22 32,4.5,628,10,https://www.facebook.com/KitchenPonferrada/,"C. Eladia Baylina, Bajo 39, 24402 Ponferrada, León, España",Web precaria (+20) | Buen rating 4.5 (+5)
25,BAJA,restaurantes,Arco del Cenador,987 41 11 35,4.5,2297,10,https://arcodelcenador.wixsite.com/arco,"Av. de Molinaseca, 8, 24400 Ponferrada, León, España",Web precaria (+20) | Buen rating 4.5 (+5)
20,BAJA,peluquerias,Tita y Fely,987 41 75 75,4.4,185,7,https://titayfely.sedinfo.es/,"C. Ángel Barja, 3, 24402 Ponferrada, León, España",Resenas medias 185 (+10) | Rating medio 4.4 (+10)
20,BAJA,clinicas dentales,DENTOMEDIC Ponferrada,987 40 98 90,4.1,99,6,https://dentomedic.es/clinica-dental-en-ponferrada/,"Pl. de Fernando Miranda, 12, 24400 Ponferrada, León, España",Resenas medias 99 (+10) | Rating medio 4.1 (+10)
20,BAJA,tiendas de ropa,La Suite,987 42 35 97,4.1,67,10,http://lasuite-online.com/,"C. Ave Maria, 17, bajo, 24402 Ponferrada, León, España",Resenas medias 67 (+10) | Rating medio 4.1 (+10)
20,BAJA,tiendas de ropa,Teatriz - Tienda de ropa Ponferrada -,987 40 34 08,4.4,101,10,https://elropero1961.com/,"Calle Dr. Fleming, 2, 24400 Ponferrada, León, España",Resenas medias 101 (+10) | Rating medio 4.4 (+10)
20,BAJA,tiendas de ropa,Korner Ponferrada,987 40 77 49,4,71,4,http://www.korner.es/,"Centro Comercial El Rosal Av. de la Constitución, 2 Planta alta. Local A40a, 24400 Ponferrada, León, España",Resenas medias 71 (+10) | Rating medio 4 (+10)
15,BAJA,restaurantes,Restaurante Las Cuadras,987 41 93 73,3.8,1074,10,http://www.lascuadras.es/,"C. Tras la Cava, 2, 24401 Ponferrada, León, España",Rating bajo 3.8 (+15)
15,BAJA,peluquerias,Aire's Peluquería y Belleza Ponferrada,642 51 24 99,4.6,189,10,http://www.aires.es/,"C. Ave Maria, Nº 22, 24402 Ponferrada, León, España",Resenas medias 189 (+10) | Buen rating 4.6 (+5)
15,BAJA,peluquerias,Peluquería Susana Pipo,987 08 81 68,4.7,174,10,http://www.susanapipo.com/,"Av. Compostilla, 12D, 24402 Ponferrada, León, España",Resenas medias 174 (+10) | Buen rating 4.7 (+5)
15,BAJA,peluquerias,Arancha Marques Hair Salon,622 73 86 55,4.5,62,10,https://aranchamarqueshairsalon.sitewebeditor.com/,"Av. España, 37, bajo, 24402 Ponferrada, León, España",Resenas medias 62 (+10) | Buen rating 4.5 (+5)
15,BAJA,peluquerias,Marcos Peluqueros,987 41 94 00,4.5,181,10,http://www.marcospeluqueros.es/,"C. Hospital, 14, 24400 Ponferrada, León, España",Resenas medias 181 (+10) | Buen rating 4.5 (+5)
15,BAJA,peluquerias,SALON DE PELUQUERIA SPAZIO,987 03 24 67,4.6,118,10,http://spaziopeluqueria.com/,"C. Fueros de León, 6, 24400 Ponferrada, León, España",Resenas medias 118 (+10) | Buen rating 4.6 (+5)
15,BAJA,clinicas dentales,Miranda Dental | Clínica dental en Ponferrada,987 42 46 67,4.9,94,10,https://mirandaclinicadental.es/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,"C. Ancha, 24, 24401 Ponferrada, León, España",Resenas medias 94 (+10) | Buen rating 4.9 (+5)
15,BAJA,clinicas dentales,Clínica Dental Milenium Ponferrada - Sanitas,987 42 50 01,4.8,139,10,https://www.sanitas.es/dental/clinicas-dentales-milenium/leon/ponferrada/ponferrada?gmb=gmb%3Af-google%3Am-link%3Anc-clinica%3Ap-dental,"Av. España, 30, 24402 Ponferrada, León, España",Resenas medias 139 (+10) | Buen rating 4.8 (+5)
15,BAJA,clinicas dentales,Clínica Dental San Remo,987 42 76 26,4.5,90,10,http://www.clinicadentalsanremo.com/,"C. Vía Nueva, 4, bajo, 24402 Ponferrada, León, España",Resenas medias 90 (+10) | Buen rating 4.5 (+5)
15,BAJA,clinicas dentales,La Puebla 39 Clínica,987 94 96 39,4.9,114,10,https://lapuebla39.com/,"Av. de la Puebla, 39, Bajo, 24402 Ponferrada, León, España",Resenas medias 114 (+10) | Buen rating 4.9 (+5)
15,BAJA,clinicas dentales,Policlínica Bergidum | Clínica dental y medicina estética consciente,987 08 08 78,4.9,67,10,https://policlinicabergidum.com/,"C. Gral. Vives, 12, 24401 Ponferrada, León, España",Resenas medias 67 (+10) | Buen rating 4.9 (+5)
15,BAJA,clinicas dentales,Clinica Dental Añón Cao en Ponferrada,987 42 74 14,4.7,69,10,http://clinicadentalañoncao.com/,"C. Antolin Lopez Pelaez, 19, 24402 Ponferrada, León, España",Resenas medias 69 (+10) | Buen rating 4.7 (+5)
15,BAJA,clinicas dentales,Clínica Dental Dr. Merino,987 40 25 10,4.5,70,10,https://drmerino.es/clinica-dental-ponferrada/,"C. Cristo, 22, 2º, 24400 Ponferrada, León, España",Resenas medias 70 (+10) | Buen rating 4.5 (+5)
15,BAJA,clinicas dentales,Clínica Dental Vitaldent,987 41 12 24,4.5,194,9,https://clinicas.vitaldent.com/leon/clinica-dental-vitaldent-ponferrada-avenida-de-la-puebla-151/?utm_source=google-my-business&utm_medium=organic&utm_id=cmp-01487-q5t8w&utm_campaign=gbp:ficha-gbp&utm_term=sin-t%C3%A9rmino&utm_content=vitaldent,"Av. de la Puebla, 33, 24400 Ponferrada, León, España",Resenas medias 194 (+10) | Buen rating 4.5 (+5)
15,BAJA,talleres mecanicos,TALLER M.A. MOTORS,680 91 17 10,4.8,71,9,https://talleresmamotors.sedinfo.es/,"Pol. Ind. Cantalobos, Nave 9, 24411 Ponferrada, León, España",Resenas medias 71 (+10) | Buen rating 4.8 (+5)
15,BAJA,talleres mecanicos,BIERZOMOTOR PONFERRADA,987 42 98 98,4.7,192,9,https://www.confortauto.com/taller/leon/confortauto-bierzo-motor?id=416,"C. Gral. Vives, 14, 24400 Ponferrada, León, España",Resenas medias 192 (+10) | Buen rating 4.7 (+5)
15,BAJA,talleres mecanicos,"Talleres Sil, s.l.",987 42 91 49,4.6,73,10,http://talleressil.es/,"Carr. el Canal, 3, 24411 Fuentesnuevas, León, España",Resenas medias 73 (+10) | Buen rating 4.6 (+5)
15,BAJA,talleres mecanicos,Talleres Elite Sport,987 45 53 12,4.7,109,2,https://tallereselitesport.sedinfo.es/,"Av. Galicia, 263, 24404 Ponferrada, León, España",Resenas medias 109 (+10) | Buen rating 4.7 (+5)
15,BAJA,talleres mecanicos,Garaje Acebo,987 41 38 68,4.6,114,1,https://garajeacebo.es/,"Av. Galicia, 7, 24400 Ponferrada, León, España",Resenas medias 114 (+10) | Buen rating 4.6 (+5)
15,BAJA,talleres mecanicos,Taller Electromecánico Acebo y Montes,987 42 49 89,4.7,73,2,https://sedinfo.es/taller-electromecanico-acebo-y-montes/gmx-niv108-con11080000138651.htm,"Parque Industrial el Bierzo, C. Burdeos, 17, D, 24404 Ponferrada, León, España",Resenas medias 73 (+10) | Buen rating 4.7 (+5)
15,BAJA,talleres mecanicos,Talleres Rodabierzo,987 41 43 14,4.6,54,2,http://www.talleresrodabierzo.com/,"Av. de Portugal, 160, 24403 Ponferrada, León, España",Resenas medias 54 (+10) | Buen rating 4.6 (+5)
15,BAJA,talleres mecanicos,Talleres Compostilla I SL,987 41 84 06,4.5,58,2,https://tallerescompostilla.es/,"Ctra Madrid-Coruña, Km 387, 24400 Ponferrada, León, España",Resenas medias 58 (+10) | Buen rating 4.5 (+5)
15,BAJA,talleres mecanicos,Feu Vert,987 40 76 84,3.6,375,10,https://www.feuvert.es/,"Av. de la Constitución, 2, C.C, 24400 El Rosal, León, España",Rating bajo 3.6 (+15)
15,BAJA,tiendas de ropa,La Eme boutique,987 03 15 41,4.7,51,10,https://laemeboutique.com/,"C. Marcelo Macías, 4, 24400 Ponferrada, León, España",Resenas medias 51 (+10) | Buen rating 4.7 (+5)
15,BAJA,tiendas de ropa,Caprichos,987 40 45 05,4.6,157,10,http://www.caprichosponferrada.es/,"Pl. Julio Lazúrtegui, 11, 24402 Ponferrada, León, España",Resenas medias 157 (+10) | Buen rating 4.6 (+5)
15,BAJA,tiendas de ropa,Tribeka,987 72 03 83,4.9,61,10,http://www.tribekashop.com/,"C. San Cristóbal, nº6, 24402 Ponferrada, León, España",Resenas medias 61 (+10) | Buen rating 4.9 (+5)
15,BAJA,tiendas de ropa,ZARA,987 40 65 43,3.9,1037,10,https://www.zara.com/es/es/stores-locator/zara-ponferrada-el-rosal-s266,"Av. de la Constitución, 2, 24401 Ponferrada, León, España",Rating bajo 3.9 (+15)
15,BAJA,tiendas de ropa,Solid Men,987 17 48 59,4.7,86,10,https://solidmen.es/,"Calle Dr. Fleming, 11, 24402 Ponferrada, León, España",Resenas medias 86 (+10) | Buen rating 4.7 (+5)
10,BAJA,restaurantes,Restaurante La Violeta,628 71 86 91,4.4,1245,10,https://www.aroihoteles.com/restaurante-la-violeta/,"Pl. Ayuntamiento, 6, 24401 Ponferrada, León, España",Rating medio 4.4 (+10)
10,BAJA,restaurantes,La Bodeguilla,987 41 11 19,4.3,2172,10,http://mesonvinotecalabodeguilla.multiespaciosweb.com/,"Pl. de Fernando Miranda, 5, 24402 Ponferrada, León, España",Rating medio 4.3 (+10)
10,BAJA,restaurantes,La Casa del Botillo,987 41 15 37,4.3,2005,10,http://www.lacasadelbotillo.com/,"C. Matadero, 41, 24415 Ponferrada, León, España",Rating medio 4.3 (+10)
10,BAJA,restaurantes,Meson La Taberna,628 71 86 91,4.4,1436,10,https://www.aroihoteles.com/meson-la-taberna/,"Calle Sta. Beatriz de Silva, 4, 24401 Ponferrada, León, España",Rating medio 4.4 (+10)
10,BAJA,peluquerias,ÉBANNI PELUQUERÍA C.C. EL ROSAL,987 40 67 20,4.2,324,10,http://www.ebanni.com/,"Av. de la Constitución, 2, Local 175, 24404 Ponferrada, León, España",Rating medio 4.2 (+10)
10,BAJA,talleres mecanicos,Confortauto Mecánica - Neumáticos Soledad,987 41 62 00,4.3,367,10,https://www.confortauto.com/talleres-mecanicos-neumaticos/leon/confortauto-neumaticos-soledad-ponferrada--7c-oferauto?id=2039,"Av. de Asturias, km 2, 24404 Ponferrada, León, España",Rating medio 4.3 (+10)
10,BAJA,tiendas de ropa,Sfera,987 45 66 62,4.1,505,10,https://www.sfera.com/es,"Pl. Julio Lazúrtegui, s/n, 24400 Ponferrada, León, España",Rating medio 4.1 (+10)
10,BAJA,tiendas de ropa,NEW YORKER,987 35 26 15,4,297,8,https://www.newyorker.de/?utm_source=google_maps&utm_medium=referral&utm_campaign=maps_click,"Avda. Constitución, 2 (La Rosaleda-Sector S-III CC El Rosal, 24400 Ponferrada, León, España",Rating medio 4 (+10)
5,BAJA,restaurantes,Lúa Ponferrada Restaurante,987 35 22 60,4.6,641,10,https://luaponferrada.es/,"Pl. Ayuntamiento, 2, 24400 Ponferrada, León, España",Buen rating 4.6 (+5)
5,BAJA,restaurantes,Restaurante Muna,693 76 23 70,4.7,944,10,https://restaurantemuna.com/,"C. Gil y Carrasco, 25, 24401 Ponferrada, León, España",Buen rating 4.7 (+5)
5,BAJA,restaurantes,7 Sillas,647 55 19 21,4.5,2163,10,https://7sillas.es/,"Pl. Ayuntamiento, 7, 24400 Ponferrada, León, España",Buen rating 4.5 (+5)
5,BAJA,restaurantes,La Casona,987 45 53 58,4.5,1779,10,http://www.restaurantelacasona.com/,"C. Real, 72, 24411 Ponferrada, León, España",Buen rating 4.5 (+5)
5,BAJA,restaurantes,Rosita Milagros,987 03 37 62,4.6,1284,10,http://www.rositamilagros.com/,"C. Joaquín Soler Serrano, 2, 24400 Ponferrada, León, España",Buen rating 4.6 (+5)
5,BAJA,clinicas dentales,Clínica MEDA DENTAL. Centro Odontológico,987 45 61 84,4.6,224,10,http://www.dentalmeda.com/,"Av. Pérez Colino, 24, bajo, 24402 Ponferrada, León, España",Buen rating 4.6 (+5)
5,BAJA,talleres mecanicos,Neumáticos Bierzo y Motoequip // First Stop,987 42 86 38,4.7,317,10,https://neumaticosbierzo.com/,"Av Portugal, KM 3.9, 24403 La Martina, León, España",Buen rating 4.7 (+5)
